Canonical,Games,PriorOVR,PriorYear,NewOVR,Delta,PosteriorSigma,AvgSurpriseZ
J1HNY,3,(none; default 87),,91,4.28,3.10,1.00
FIBRAA,3,(none; default 87),,91,4.00,3.10,0.72
handprlnt,3,(none; default 87),,84,-3.45,3.10,-0.77
deezmvn,2,(none; default 87),,90,3.16,3.63,1.12
lorddicys,2,88,2022,91,2.80,3.36,1.09
Johnnyy_Walker,1,(none; default 87),,85,-2.50,4.56,-2.12
battlebans,1,(none; default 87),,85,-2.50,4.56,-1.38
osaidasasldik2,1,(none; default 87),,90,2.50,4.56,1.35
ValorExostylx,1,(none; default 87),,85,-2.50,4.56,-1.18
JakeAtlantis,1,(none; default 87),,90,2.50,4.56,1.93
PAWSKELLYMERC,1,(none; default 87),,85,-2.50,4.56,-2.05
c9iro,1,(none; default 87),,90,2.50,4.56,1.94
evis2026,1,(none; default 87),,90,2.50,4.56,2.53
tobehonestba,1,(none; default 87),,85,-2.50,4.56,-1.63
Waxer222,1,75,2021,78,2.50,4.05,1.98
cf0921,1,75,2023,78,2.50,3.33,1.86
omwlilbro,1,(none; default 87),,85,-2.50,4.56,-1.01
lv3_l,1,(none; default 87),,85,-2.50,4.56,-1.08
vliq3,1,(none; default 87),,85,-2.50,4.56,-1.22
Bacon_Man5000,1,(none; default 87),,85,-2.50,4.56,-1.15
OT7SURGE,1,(none; default 87),,85,-2.50,4.56,-1.49
goId6n,1,(none; default 87),,85,-2.50,4.56,-1.47
jomjastic,1,(none; default 87),,90,2.50,4.56,1.55
pastvayne,3,83,2023,85,2.44,2.62,0.66
lsxaiah,1,(none; default 87),,89,2.41,4.56,1.32
CoolAndrewNumber1,5,(none; default 87),,89,2.36,2.51,0.90
swimmervicen,1,(none; default 87),,85,-2.35,4.56,-1.10
flawstad_imrecording,2,(none; default 87),,89,2.34,3.63,0.55
x2askl7z3n57vn,1,(none; default 87),,89,2.33,4.56,1.28
265jah,1,(none; default 87),,89,2.26,4.56,1.06
Ran502,1,87,2023,85,-2.24,3.33,-2.43
CynicalFishy,1,(none; default 87),,85,-2.15,4.56,-1.24
Azuracy,1,(none; default 87),,85,-2.08,4.56,-1.20
omwvalk,1,(none; default 87),,85,-2.04,4.56,-1.18
MALIICE,1,(none; default 87),,85,-2.03,4.56,-1.18
paul321321,2,89,2025,87,-1.93,2.45,-1.48
f_rmula,2,(none; default 87),,85,-1.91,3.63,-0.39
JAWS,2,91,2025,89,-1.87,2.45,-1.58
Enchzx,1,(none; default 87),,85,-1.83,4.56,-1.06
Camtheboi14,1,(none; default 87),,85,-1.82,4.56,-1.05
MeepCitense_59,1,(none; default 87),,85,-1.82,4.56,-1.05
hecactia,1,93,2026,95,1.78,2.68,1.66
bloodinbeijing,1,(none; default 87),,85,-1.77,4.56,-1.03
menter,1,(none; default 87),,89,1.73,4.56,1.00
arrchonn,1,(none; default 87),,85,-1.70,4.56,-0.98
Aurelilian,1,(none; default 87),,85,-1.66,4.56,-0.96
chocolatemilk24719,1,(none; default 87),,85,-1.65,4.56,-0.90
abosty,1,(none; default 87),,89,1.63,4.56,0.94
khritus,6,90,2026,92,1.59,1.90,0.55
desoleum,1,77,2023,79,1.54,3.33,1.67
mollywhopped,1,72,2021,73,1.49,4.05,0.61
Da_mas,1,95,2020,94,-1.47,4.05,-0.87
Stratvgy,1,(none; default 87),,86,-1.46,4.56,-0.80
medvai2,1,(none; default 87),,86,-1.46,4.56,-0.85
vertispace,1,(none; default 87),,88,1.43,4.56,0.67
p_ams,2,85,2025,86,1.40,2.45,1.07
Vyprahul,4,87,2026,88,1.40,2.12,0.66
d9riaa,1,(none; default 87),,86,-1.38,4.56,-0.80
evilchxw,1,(none; default 87),,88,1.37,4.56,0.75
qirvv,3,87,2026,88,1.37,2.27,0.91
m_jor,1,93,2026,92,-1.36,2.68,-1.78
DoctorKhel,1,(none; default 87),,86,-1.32,4.56,-0.60
DPRSPOOK,1,(none; default 87),,86,-1.29,4.56,-0.75
SiegeSquad,1,(none; default 87),,88,1.27,4.56,0.73
fishtavius,1,(none; default 87),,86,-1.27,4.56,-0.73
m_lenia,1,83,2026,84,1.25,2.68,2.09
racvk,2,90,2024,91,1.23,2.91,0.61
RICESREVENGE,1,90,2022,89,-1.17,4.05,-0.85
w_plop,3,(none; default 87),,88,1.14,3.10,0.23
DRNONCHAIANT,1,(none; default 87),,86,-1.11,4.56,-0.64
ANTLCIPATE,1,(none; default 87),,86,-1.09,4.56,-0.63
youngcion,1,86,2023,87,1.08,3.33,1.17
ImperfectJayboss,1,84,2026,85,1.06,2.68,1.52
asunaspace,1,85,2021,84,-1.04,4.05,-0.72
Oxledus,1,84,2025,85,1.02,2.68,1.37
nullhunter,1,(none; default 87),,88,1.02,4.56,0.59
TarBlackCoonMonkey,1,(none; default 87),,88,0.98,4.56,0.46
Noctor765_YT,1,(none; default 87),,86,-0.98,4.56,-0.46
B1GMOP,1,79,2024,80,0.97,3.33,1.05
snake_100nm,1,(none; default 87),,88,0.95,4.56,0.55
grenegublin,4,81,2020,82,0.95,2.63,0.07
PANSTAT99,1,(none; default 87),,86,-0.90,4.56,-0.52
ghostlywhiff,1,87,2026,88,0.90,2.68,1.50
SoylentDingleBerry,1,(none; default 87),,86,-0.89,4.56,-0.51
Dahblueman,1,83,2026,84,0.88,2.68,1.47
Vr1tux,1,(none; default 87),,86,-0.88,4.56,-0.51
8kr6,2,(none; default 87),,86,-0.85,3.63,0.02
HVAX,1,80,2021,81,0.84,4.05,0.48
kuurb,1,80,2026,79,-0.81,2.68,-1.09
kreayc,3,87,2026,88,0.81,2.27,0.44
exRatchet,1,(none; default 87),,88,0.80,4.56,0.46
st_ellar,1,(none; default 87),,86,-0.79,4.56,-0.37
makomami,1,84,2024,83,-0.78,3.33,-0.48
Xialafils,1,93,2024,92,-0.78,3.33,-0.80
pastlight,1,87,2026,86,-0.75,2.68,-1.08
lmk,1,(none; default 87),,86,-0.75,4.56,-0.41
FreedomReaper,1,89,2026,88,-0.75,2.68,-0.98
moooshiimoooshii,2,86,2026,85,-0.73,2.45,-0.63
damejulio1942,1,88,2025,87,-0.73,2.68,-1.22
fireschoolbus1,2,91,2026,90,-0.72,2.45,-0.50
Zylosian,1,(none; default 87),,86,-0.71,4.56,-0.41
c4spian,5,89,2026,90,0.71,2.00,0.32
rinarcy,3,95,2026,94,-0.70,2.27,-0.41
KILLMAN,1,89,2023,88,-0.69,3.33,-0.58
cakeosityz,1,85,2024,86,0.68,3.33,0.41
infantrxy,1,(none; default 87),,86,-0.66,4.56,-0.38
shaquillee,1,92,2026,93,0.63,2.68,0.85
evanvictorjames,3,85,2026,86,0.61,2.27,0.29
WETLOVOTIRAGINGDUC,1,(none; default 87),,86,-0.60,4.56,-0.28
Bolifax,1,(none; default 87),,88,0.59,4.56,0.34
V_iridian,1,88,2026,89,0.58,2.68,0.97
zeustage,1,82,2026,81,-0.56,2.68,-0.75
pdualy,1,85,2024,84,-0.55,3.33,-0.56
G4ME4LL,1,(none; default 87),,86,-0.54,4.56,-0.31
evilcola,1,82,2021,83,0.50,4.05,0.35
Tenshi,4,87,2026,87,-0.49,2.12,-0.24
goatvicts,2,95,2026,95,0.47,2.45,0.37
deadlyful,2,87,2026,87,-0.46,2.45,-0.33
cencede,2,89,2024,89,-0.46,2.91,-0.23
RedactedSightz,1,(none; default 87),,87,-0.45,4.56,-0.26
renshire,1,87,2026,87,0.44,2.68,0.63
cahpuh,1,90,2025,90,-0.43,2.68,-0.72
Xxjake_zx,1,(none; default 87),,87,0.39,4.56,0.23
jawsator,2,(none; default 87),,87,0.39,3.63,0.38
h3untrix,1,(none; default 87),,87,-0.38,4.56,-0.22
evilnura,1,95,2023,95,0.38,3.33,0.32
omwhugo,1,91,2026,91,0.38,2.68,0.51
Flamedxx,2,82,2025,82,-0.37,2.45,-0.31
BUCVKS,1,(none; default 87),,87,0.37,4.56,0.21
accelfrenzy,1,91,2023,91,0.35,3.33,0.30
Colonelpwn2,1,84,2024,84,-0.34,3.33,-0.35
VESPA_HUNTER,1,(none; default 87),,87,0.33,4.56,0.18
Enigmatic_Compon,1,(none; default 87),,87,0.32,4.56,0.15
gIoryfication,1,87,2023,87,-0.32,3.33,-0.35
Austingani3,1,(none; default 87),,87,0.31,4.56,0.18
highlyy,1,86,2026,86,-0.28,2.68,-0.37
MrCometDusts,1,(none; default 87),,87,-0.25,4.56,-0.15
outclaim,1,85,2025,85,0.24,2.68,0.41
Apocryphae,1,87,2025,87,0.24,2.68,0.40
Enkhio,1,(none; default 87),,87,-0.21,4.56,-0.12
byfroncantstopghost,1,(none; default 87),,87,-0.21,4.56,-0.12
Jesxaiah,1,87,2024,87,-0.19,3.33,-0.21
omwvin,1,(none; default 87),,87,0.18,4.56,0.11
nqthcn,1,86,2026,86,-0.17,2.68,-0.22
phoaddiction,2,82,2026,82,0.16,2.45,0.13
G2_RCM,1,(none; default 87),,87,0.16,4.56,0.09
PEEJAYY,1,(none; default 87),,87,0.15,4.56,0.09
s2n_phino,1,87,2025,87,-0.14,2.68,-0.13
SN_Apyrzional,1,(none; default 87),,87,-0.14,4.56,-0.08
outpasts,1,(none; default 87),,87,0.12,4.56,0.07
thundercxdes,1,(none; default 87),,87,-0.11,4.56,-0.06
Craidd,1,88,2025,88,0.09,2.68,0.15
stavcks,2,(none; default 87),,87,-0.08,3.63,-0.04
taku,1,83,2026,83,0.07,2.68,0.11
Carl71078,2,87,2026,87,0.06,2.45,-0.00
danlam,3,91,2026,91,0.05,2.27,0.00
omwsnax,1,(none; default 87),,87,-0.03,4.56,-0.02
blacklisting,1,94,2023,94,0.02,3.33,0.01
crash6474,1,85,2026,85,0.01,2.68,0.01
LoyalReaper,1,84,2026,84,-0.00,2.68,-0.01
aspirrant,6,95,2026,95,0.00,1.90,-0.82
Avaitron,3,95,2026,95,0.00,2.27,-1.76
